Region,Gender,Type,Organ,Count
Hawaii,Male,Transplanted,Kidney,59
Hawaii,Female,Transplanted,Kidney,25
Puerto Rico,Male,Transplanted,Kidney,87
Puerto Rico,Female,Transplanted,Kidney,47
Pacific,Male,Transplanted,Pancreas,95
Pacific,Female,Transplanted,Pancreas,41
Northeast,Male,Transplanted,Pancreas,96
Northeast,Female,Transplanted,Pancreas,30
Rocky Mountains,Male,Transplanted,Pancreas,28
Rocky Mountains,Female,Transplanted,Pancreas,5
Southwest,Male,Transplanted,Pancreas,15
Southwest,Female,Transplanted,Pancreas,35
Southeast,Male,Transplanted,Pancreas,222
Southeast,Female,Transplanted,Pancreas,100
Midwest,Male,Transplanted,Pancreas,187
Midwest,Female,Transplanted,Pancreas,109
Hawaii,Male,Transplanted,Pancreas,5
Hawaii,Female,Transplanted,Pancreas,1
Puerto Rico,Male,Transplanted,Pancreas,14
Puerto Rico,Female,Transplanted,Pancreas,1
Pacific,Male,Transplanted,Liver,461
Pacific,Female,Transplanted,Liver,300
Northeast,Male,Transplanted,Liver,580
Northeast,Female,Transplanted,Liver,359
Rocky Mountains,Male,Transplanted,Liver,112
Rocky Mountains,Female,Transplanted,Liver,52
Southwest,Male,Transplanted,Liver,92
Southwest,Female,Transplanted,Liver,266
Southeast,Male,Transplanted,Liver,1132
Southeast,Female,Transplanted,Liver,837
Midwest,Male,Transplanted,Liver,686
Midwest,Female,Transplanted,Liver,489
Hawaii,Male,Transplanted,Liver,15
Hawaii,Female,Transplanted,Liver,7
Puerto Rico,Male,Transplanted,Liver,56
Puerto Rico,Female,Transplanted,Liver,28
Pacific,Male,Transplanted,Intestine,3
Pacific,Female,Transplanted,Intestine,5
Northeast,Male,Transplanted,Intestine,8
Northeast,Female,Transplanted,Intestine,5
Rocky Mountains,Male,Transplanted,Intestine,5
Rocky Mountains,Female,Transplanted,Intestine,2
Southwest,Male,Transplanted,Intestine,0
Southwest,Female,Transplanted,Intestine,3
Southeast,Male,Transplanted,Intestine,18
Southeast,Female,Transplanted,Intestine,21
Midwest,Male,Transplanted,Intestine,21
Midwest,Female,Transplanted,Intestine,9
Hawaii,Male,Transplanted,Intestine,0
Hawaii,Female,Transplanted,Intestine,0
Puerto Rico,Male,Transplanted,Intestine,0
Puerto Rico,Female,Transplanted,Intestine,0
Pacific,Male,Transplanted,Heart,242
Pacific,Female,Transplanted,Heart,117
Northeast,Male,Transplanted,Heart,244
Northeast,Female,Transplanted,Heart,112
Rocky Mountains,Male,Transplanted,Heart,64
Rocky Mountains,Female,Transplanted,Heart,22
Southwest,Male,Transplanted,Heart,36
Southwest,Female,Transplanted,Heart,91
Southeast,Male,Transplanted,Heart,480
Southeast,Female,Transplanted,Heart,234
Midwest,Male,Transplanted,Heart,321
Midwest,Female,Transplanted,Heart,185
Hawaii,Male,Transplanted,Heart,0
Hawaii,Female,Transplanted,Heart,0
Puerto Rico,Male,Transplanted,Heart,22
Puerto Rico,Female,Transplanted,Heart,2
Pacific,Male,Transplanted,Lungs,299
Pacific,Female,Transplanted,Lungs,167
Northeast,Male,Transplanted,Lungs,182
Northeast,Female,Transplanted,Lungs,143
Rocky Mountains,Male,Transplanted,Lungs,46
Rocky Mountains,Female,Transplanted,Lungs,22
Southwest,Male,Transplanted,Lungs,34
Southwest,Female,Transplanted,Lungs,166
Southeast,Male,Transplanted,Lungs,569
Southeast,Female,Transplanted,Lungs,399
Midwest,Male,Transplanted,Lungs,299
Midwest,Female,Transplanted,Lungs,264
Hawaii,Male,Transplanted,Lungs,0
Hawaii,Female,Transplanted,Lungs,4
Puerto Rico,Male,Transplanted,Lungs,27
Puerto Rico,Female,Transplanted,Lungs,9
Pacific,Male,EstPop,All,24265837
Pacific,Female,EstPop,All,24529160
Northeast,Male,EstPop,All,25022768
Northeast,Female,EstPop,All,26422649
Rocky Mountains,Male,EstPop,All,5429014
Rocky Mountains,Female,EstPop,All,4004088
Southwest,Male,EstPop,All,5774279
Southwest,Female,EstPop,All,19384001
Southeast,Male,EstPop,All,41314675
Southeast,Female,EstPop,All,43289008
Midwest,Male,EstPop,All,29429578
Midwest,Female,EstPop,All,30331933
Hawaii,Male,EstPop,All,700502
Hawaii,Female,EstPop,All,689588
Puerto Rico,Male,EstPop,All,3725789
Puerto Rico,Female,EstPop,All,3725789
