hexid,amphPrev,birdPrev,fishPrev,mammPrev,reptPrev,jan.avg,jan.stdev,jul.avg,jul.stdev,ppt.avg,ppt.stdev,ppt.min,ppt.max,seas.avg,elev.min,elev.max,elev.avg,elev.stdev,fractal,dominance,contagion,slope.max,slope.min,slope.med,slope.avg,slope.stdev,slope.iqr,aspect.avg,aspect.dev,aspect.med,crop.pasture,grass.crop,wood.crop,grass,shrub,grass.shrub,deciduous,evergreen,mix.forest,water,coast.wet,barren,tundra,urban,roads.maj,roads.min,streams.maj,streams.per,streams.int,streams.bra,fed.park,fed.refuge,fed.wilder,fed.indian,fed.mil,fed.forest,non.fed,federal,stream,roads
2656,19,107,26,43,22,-1.702,1.336,23.133,1.429,1032.631,60.091,949,1189,24.835,91,549,244,142.4,1.432,0.279,0.687,7.645,0,1.306,2.039,1.871,2.814,126.6,69,120.6,0.01852,0,0.14815,0,0,0,0.64198,0.07562,0.11265,0,0,0,0,0.00309,0,59.0325,58.553,0,58.553,58.553,0,0,0,0,0,0,0,0,175.659,59.0325
2657,18,109,31,43,20,-0.434,0.636,24.249,0.689,973.862,21.231,922,1040,24.683,61,495,148,63.2,1.485,0.274,0.74,7.153,0,0.918,1.424,1.315,1.497,110.5,70.8,116.1,0.034,0,0.1592,0,0,0.00309,0.50541,0.05564,0.23493,0,0,0,0,0.00773,0,97.0992,70.745,2.927,70.745,70.745,0,0,0,0,2.3562,0,0,2.3562,215.162,97.0992
2658,17,98,33,35,19,-0.12,0.453,24.253,0.654,994.552,15.823,967,1038,24.373,76,487,157,60,1.499,0.366,0.632,7.616,0.01,0.742,1.139,1.256,0.853,98,65,100.9,0,0,0.03086,0,0,0,0.35494,0.00772,0.59568,0,0,0,0,0.0108,29.7929,30.8908,47.277,0,47.277,47.277,0,0,0,0,0,0,0,0,141.831,60.6837
2659,16,103,32,32,11,-0.201,0.431,23.842,0.441,1008.924,11.961,972,1032,24.043,106,411,183,45.3,1.433,0.543,0.775,5.291,0.01,0.849,1.157,0.936,1.043,68.7,73.5,74.3,0,0,0.00309,0,0,0,0.25502,0,0.74189,0,0,0,0,0,0,79.6119,37.93,0,37.93,37.93,0,0,0,0,0,0,0,0,113.79,79.6119
2660,8,93,31,30,10,0.414,0.523,24.362,0.524,1013.069,12.014,965,1033,23.948,91,307,144,31.6,1.511,0.404,0.721,3.493,0,0.598,0.712,0.536,0.512,139.7,67.6,144.7,0,0,0.00154,0,0,0,0.453,0.00154,0.53313,0,0,0,0,0.01079,14.7332,66.1609,79.149,0,79.149,79.149,0,0,0,0,0,0,0,0,237.447,80.8941
2661,9,91,28,30,6,0.807,0.402,24.75,0.444,1051.12,21.124,1021,1108,23.943,76,275,128,29.5,1.472,0.31,0.61,4.417,0,0.513,0.625,0.562,0.577,108.2,69.1,111.8,0,0,0.0339,0,0,0,0.42065,0.02774,0.50847,0,0,0,0,0.00924,16.9798,90.0859,47.687,0,47.687,47.687,0,0,0,0,0,0,0,0,143.061,107.0657
2662,6,88,30,29,3,1.174,0.502,24.875,0.395,1085.299,18.267,1051,1137,23.701,91,488,146,42.4,1.473,0.327,0.627,7.323,0,0.534,0.814,1.031,0.733,84.6,73.2,90,0,0,0.02157,0,0,0,0.49923,0.00924,0.46687,0,0,0,0,0.00308,7.6778,51.9522,54.793,0,54.793,54.793,0,0,0,0,0,0,0,0,164.379,59.63
2663,15,89,36,26,12,1.918,0.457,25.06,0.517,1070.765,12.214,1044,1102,23.142,91,408,143,47.2,1.457,0.338,0.654,6.118,0,0.528,0.852,1.08,0.609,131.4,74.7,134.5,0,0,0.0031,0,0,0,0.56347,0.00155,0.42724,0,0,0,0,0.00464,0,90.0288,38.705,0,38.705,38.705,0,0,0,0,0,0,0,0,116.115,90.0288
2664,11,91,44,28,10,1.895,0.307,24.91,0.291,1067.972,13.66,1021,1095,23.015,90,183,123,20.2,1.567,0.433,0.755,1.651,0,0.476,0.47,0.298,0.467,101.5,74.9,118.5,0,0,0.00774,0,0,0,0.47059,0.00619,0.51548,0,0,0,0,0,32.1594,22.0466,71.988,0,71.988,71.988,0,0,0,0,0,0,0,0,215.964,54.206
2665,10,68,24,28,16,1.776,0.417,24.342,0.484,1084.637,10.276,1069,1107,22.566,91,289,160,24.1,1.482,0.256,0.485,3.795,0,0.511,0.537,0.435,0.485,49.3,69.6,61.4,0,0,0.00309,0,0,0,0.39722,0,0.59969,0,0,0,0,0,10.8818,56.1011,50.577,0,50.577,50.577,0,0,0,0,0,0,0,0,151.731,66.9829
2666,17,79,41,28,9,1.743,0.437,24.121,0.326,1077.827,8.813,1064,1103,22.378,122,244,177,28.9,1.488,0.312,0.577,2.175,0,0.55,0.548,0.29,0.419,100.1,65.4,103.5,0,0,0.00155,0,0,0,0.33901,0,0.65944,0,0,0,0,0,9.0225,31.4102,40.143,0,40.143,40.143,0,0,0,0,0,0,0,0,120.429,40.4327
2667,23,82,40,27,21,2.082,0.367,24.503,0.5,1067.147,9.504,1046,1104,22.421,103,213,155,24.4,1.561,0.353,0.646,1.216,0,0.476,0.483,0.273,0.446,158.2,69.1,157.4,0,0,0.01084,0,0,0,0.3839,0,0.60526,0,0,0,0,0,28.9851,0,29.442,0,29.442,29.442,0,0,0,0,0,0,0,0,88.326,28.9851
2668,3,76,31,27,12,2.89,0.313,25,0,1070.522,7.5,1046,1089,22.11,99,203,143,18.9,1.52,0.487,0.687,1.273,0,0.513,0.523,0.272,0.417,93.9,73.8,96,0,0,0.05719,0,0,0,0.46986,0.00464,0.46059,0,0,0,0,0.00773,0,56.7234,52.25,0,52.25,52.25,0,0,0,0,0,0,0,0,156.75,56.7234
2669,19,91,38,35,26,2.978,0.145,25.002,0.039,1090.182,13.805,1062,1124,22.023,101,191,136,17.7,1.527,0.461,0.691,1.155,0,0.486,0.482,0.262,0.427,63.3,76.7,77.5,0,0,0.09091,0,0,0,0.2527,0.00462,0.64099,0,0,0,0,0.01079,0,68.9305,57.707,0,57.707,57.707,0,0,0,0,0,0,0,0,173.121,68.9305
2767,22,150,26,49,15,-5.718,0.663,19.854,0.731,911.915,45.049,822,1020,25.572,228,546,385,73.5,1.434,0.409,0.693,5.142,0.093,1.73,1.861,0.978,1.327,288,78.9,280,0,0,0.22308,0,0,0,0.42,0,0.35538,0,0,0,0,0.00154,1.4374,51.9528,32.316,0,32.316,32.316,0,0,0,0,0,0,0,0,96.948,53.3903
2768,10,106,24,44,7,-5.38,0.878,19.901,0.888,1004.623,62.487,871,1109,25.281,213,700,354,83.7,1.464,0.531,0.701,9.495,0.045,1.932,2.37,1.654,2.017,112.1,77.1,122,0,0,0.27006,0,0,0,0.63735,0,0.08796,0,0,0,0,0.00463,0,64.6291,74.15,0,74.15,74.15,0,0,0,0,0,0,0,0,222.45,64.6291
2769,9,105,20,47,9,-6.586,0.719,18.64,0.821,1057.913,45.921,992,1184,25.226,274,674,515,78.1,1.449,0.461,0.465,8.18,0.041,2.003,2.323,1.516,2.018,134.8,75.8,140.8,0,0,0.03101,0,0,0,0.76434,0,0.20465,0,0,0,0,0,28.5157,5.9916,39.584,0,39.584,39.584,0,0,0,0,0,0,0,0,118.752,34.5073
2770,13,112,19,44,10,-5.158,1.034,20.458,1.2,1001.854,19.362,975,1056,25.616,151,701,356,119.5,1.473,0.506,0.627,11.249,0.077,1.948,2.548,1.967,2.167,196.6,68.6,195.5,0,0,0.30568,0,0,0,0.67127,0,0.02304,0,0,0,0,0,11.5164,44.5292,58.451,0,58.451,58.451,0,0,0,0,0,0,0,0,175.353,56.0455
2771,17,105,24,39,11,-3.906,0.692,21.763,0.606,934.856,54.863,789,1010,25.669,134,553,209,74.6,1.435,0.312,0.709,10.88,0,0.815,1.625,1.997,1.552,149.6,71.4,148.7,0.02941,0.0031,0.69969,0,0,0,0.24768,0,0.00464,0,0,0,0,0.01548,0,80.9996,39.413,0,39.413,39.413,0,0,0,0,0,0,0,0,118.239,80.9996
2772,18,96,30,38,13,-3.918,0.504,21.671,0.568,1014.596,24.508,935,1061,25.59,140,585,204,51.3,1.439,0.268,0.694,10.661,0,0.942,1.385,1.441,1.177,88.6,72.3,111.6,0.03241,0.00154,0.70679,0,0,0,0.24537,0,0,0,0,0,0,0.01389,28.3408,45.5732,90.945,3.17,90.945,90.945,0,0,0,0,0,0,0,0,276.005,73.914
2773,12,101,24,40,8,-3.966,0.948,21.454,1.036,1019.142,10.165,1000,1051,25.42,116,640,248,100.6,1.478,0.263,0.476,10.024,0.014,1.304,2.182,2.258,1.64,125.8,76.3,131.7,0,0,0.38735,0,0,0,0.61265,0,0,0,0,0,0,0,28.4933,39.8979,19.266,0,19.266,19.266,0,0,0,0,0,0,0,0,57.798,68.3911
2774,15,101,28,42,14,-3.14,0.734,22.175,0.806,1017.025,16.495,987,1081,25.315,122,614,229,80.9,1.548,0.324,0.555,10.912,0,1.388,2.107,2.151,1.524,77.8,76.6,95.3,0,0,0.14747,0,0,0,0.8341,0,0.01843,0,0,0,0,0,45.3913,8.4028,90.484,0,90.484,90.484,0,0,0,0,0,0,0,0,271.452,53.7941
