"hsa","obsratewm100k","obsratebm100k","femhh","popdens","pctblack","pcthispan","dthswm","obslnrwm","predlnrwm","residwm","dthsbm","obslnrbm","predlnrbm","residbm","predratewm100k","smpredratewm100k","predratebm100k","urbanRural","BM15-24","WM15-24"
638,0.1,0.1,9.8,7.4,0.0652650226,0.2657218778,0,-13.8155,-12.7889,-1.0266,0,-13.8155,-11.8409,-1.9746,0.28,0.64508,0.72,8.53,10,3290
639,0.1,0.1,5.8,24.1,0.2698015032,0.3790068735,0,-13.8155,-12.1445,-1.671,0,-13.8155,-11.9792,-1.8363,0.53,4.68809,0.63,7,45,9030
640,0.1,0.1,3.2,1.7,0.0597978832,0.2870298391,0,-13.8155,-12.7737,-1.0418,0,-13.8155,-13.3321,-0.4834,0.28,0.43402,0.16,9,5,4230
641,3.35,0.1,7.6,220.1,4.1705520572,3.6728728141,2,-10.3043,-10.924,0.6197,0,-13.8155,-11.7666,-2.0489,1.8,1.87691,0.78,2.42,3450,61560
642,0.1,0.1,3.6,12,0.205655527,0.3199085975,0,-13.8155,-12.0072,-1.8083,0,-13.8155,-11.8836,-1.9319,0.61,0.5308,0.69,7,90,4880
643,0.1,0.1,3.4,3,0.1765225066,9.841129744,0,-13.8155,-12.311,-1.5046,0,-13.8155,-12.23,-1.5855,0.45,0.48696,0.49,9,15,1170
644,0.1,66.25,4.8,20.1,0.1955914312,0.9003415088,0,-13.8155,-12.292,-1.5236,3,-7.3195,-9.177,1.8575,0.46,0.45883,10.34,7.95,110,9280
645,0.1,0.1,4.2,16.6,0,0.1797112227,0,-13.8155,-12.8039,-1.0117,0,-13.8155,-12.3056,-1.5099,0.28,0.65072,0.45,7.31,0,4260
646,0.1,0.1,4.6,34.5,0.0800048003,2.6581594896,0,-13.8155,-12.5523,-1.2632,0,-13.8155,-13.1128,-0.7027,0.35,0.65072,0.2,7,20,14145
647,0.1,0.1,4.8,19.5,0.0118049817,0.1357572896,0,-13.8155,-12.8474,-0.9681,0,-13.8155,-11.7951,-2.0204,0.26,0.45883,0.75,6.86,0,4590
648,0.1,0.1,7.3,2.9,0.0763358779,0.429389313,0,-13.8155,-12.8416,-0.9739,0,-13.8155,-12.2656,-1.5499,0.26,0.31715,0.47,8.42,10,3530
649,0.1,0.1,5.3,22.5,0.3717977783,0.349127182,0,-13.8155,-12.963,-0.8525,0,-13.8155,-11.7046,-2.1109,0.23,0.68813,0.83,7,35,6620
650,5.36,0.1,5.6,29.5,13.285619234,3.5210127857,1,-9.8344,-9.9464,0.112,0,-13.8155,-11.8813,-1.9342,4.79,4.44476,0.69,6.13,4535,19020
651,8.41,0.1,3.9,23.1,0.2453265296,1.0009322408,1,-9.3832,-12.6108,3.2276,0,-13.8155,-11.2135,-2.602,0.33,0.41005,1.35,7.54,45,12030
652,0.1,0.1,3.2,23.3,0.0352252213,0.2862049227,0,-13.8155,-12.6638,-1.1517,0,-13.8155,-12.6145,-1.201,0.32,0.44661,0.33,7,5,6840
654,0.1,0.1,3.5,3.4,0.036652413,1.453879047,0,-13.8155,-12.5397,-1.2758,0,-13.8155,-11.727,-2.0885,0.36,0.35816,0.81,9,0,1995
655,0.1,0.1,7,7.2,0.0481822164,0.1533070521,0,-13.8155,-12.9523,-0.8632,0,-13.8155,-13.3487,-0.4668,0.24,0.60983,0.16,7.89,10,5645
656,3.81,0.1,5.7,33,2.901813492,0.6154333488,1,-10.1742,-10.7945,0.6203,0,-13.8155,-12.4669,-1.3486,2.05,2.0512,0.39,7.67,1560,26925
657,28.21,0.1,5.5,20.2,2.1665351223,0.3551696922,2,-8.1733,-10.5802,2.407,0,-13.8155,-11.9833,-1.8322,2.54,2.54143,0.62,6.58,100,7115
658,0.1,0.1,3,11.5,0.0145581598,0.7206289125,0,-13.8155,-12.747,-1.0686,0,-13.8155,-11.9179,-1.8976,0.29,0.41005,0.67,9,0,3520
659,16.14,0.1,4.7,5.9,0.3116730373,3.6224639812,1,-8.7317,-12.2325,3.5008,0,-13.8155,-11.7849,-2.0306,0.49,0.48696,0.76,7.21,80,6235
660,0.1,0.1,4.5,18.8,0.0528401585,0.8137384412,0,-13.8155,-12.559,-1.2565,0,-13.8155,-11.7982,-2.0173,0.35,1.4862,0.75,6.49,15,4940
661,0.1,0.1,4.3,9,0.2919045148,1.0119356513,0,-13.8155,-12.8054,-1.0101,0,-13.8155,-11.7925,-2.023,0.27,0.5308,0.76,6.46,5,3835
662,0.1,0.1,3.4,14,0.0436776589,0.3385018563,0,-13.8155,-12.2227,-1.5928,0,-13.8155,-11.7114,-2.1042,0.49,0.5308,0.82,7,0,2330
663,0.1,0.1,6.1,23,0.1348072257,0.4853060124,0,-13.8155,-12.6872,-1.1283,0,-13.8155,-13.0764,-0.7391,0.31,7.89497,0.21,9,5,3585
664,0.1,0.1,3.6,7,0.6141045959,10.320919176,0,-13.8155,-12.3745,-1.441,0,-13.8155,-12.1404,-1.6751,0.42,2.33223,0.53,7,5,1450
665,0.1,0.1,3.3,24,0.100658858,0.5124450952,0,-13.8155,-12.6645,-1.151,0,-13.8155,-11.7255,-2.09,0.32,0.65072,0.81,7,0,3080
666,8.26,0.1,5.4,23.4,4.6870034954,0.4630260112,1,-9.4011,-10.6244,1.2233,0,-13.8155,-11.8396,-1.976,2.43,2.43154,0.72,7.14,695,12250
