Organ,Type,OrganType,Year,Value,,,,,,,,,
Heart,Recovered Per Donor,Heart Recovered Per Donor,2011,0.192222,,,,,,,,,
Lungs ,Recovered Per Donor,Lungs  Recovered Per Donor,2011,0.405981,,,,,,,,,
Intestine,Recovered Per Donor,Intestine Recovered Per Donor,2011,0.016613,,,,,,,,,
All,Transplanted Per Donor,All Transplanted Per Donor,2011,3.072360,,,,,,,,,
Kidney,Transplanted Per Donor,Kidney Transplanted Per Donor,2011,1.493970,,,,,,,,,
Pancreas,Transplanted Per Donor,Pancreas Transplanted Per Donor,2011,0.742063,,,,,,,,,
Liver,Transplanted Per Donor,Liver Transplanted Per Donor,2011,0.291041,,,,,,,,,
Heart,Transplanted Per Donor,Heart Transplanted Per Donor,2011,0.140660,,,,,,,,,
Lungs ,Transplanted Per Donor,Lungs  Transplanted Per Donor,2011,0.388752,,,,,,,,,
Intestine,Transplanted Per Donor,Intestine Transplanted Per Donor,2011,0.015875,,,,,,,,,
All,Recovered,All Recovered,2010,28464.000000,,,,,,,,,
Kidney,Recovered,Kidney Recovered,2010,14409.000000,,,,,,,,,
Pancreas,Recovered,Pancreas Recovered,2010,6611.000000,,,,,,,,,
Liver,Recovered,Liver Recovered,2010,2406.000000,,,,,,,,,
Heart,Recovered,Heart Recovered,2010,1660.000000,,,,,,,,,
Lungs ,Recovered,Lungs  Recovered,2010,3219.000000,,,,,,,,,
Intestine,Recovered,Intestine Recovered,2010,159.000000,,,,,,,,,
All,Transplanted,All Transplanted,2010,24586.000000,,,,,,,,,
Kidney,Transplanted,Kidney Transplanted,2010,11768.000000,,,,,,,,,
Pancreas,Transplanted,Pancreas Transplanted,2010,5934.000000,,,,,,,,,
Liver,Transplanted,Liver Transplanted,2010,2393.000000,,,,,,,,,
Heart,Transplanted,Heart Transplanted,2010,1244.000000,,,,,,,,,
Lungs ,Transplanted,Lungs  Transplanted,2010,3096.000000,,,,,,,,,
Intestine,Transplanted,Intestine Transplanted,2010,151.000000,,,,,,,,,
All,Donors,All Donors,2010,7943.000000,,,,,,,,,
All,Recovered Per Donor,All Recovered Per Donor,2010,3.583533,,,,,,,,,
Kidney,Recovered Per Donor,Kidney Recovered Per Donor,2010,1.814050,,,,,,,,,
Pancreas,Recovered Per Donor,Pancreas Recovered Per Donor,2010,0.832305,,,,,,,,,
Liver,Recovered Per Donor,Liver Recovered Per Donor,2010,0.302908,,,,,,,,,
Heart,Recovered Per Donor,Heart Recovered Per Donor,2010,0.208989,,,,,,,,,
Lungs ,Recovered Per Donor,Lungs  Recovered Per Donor,2010,0.405262,,,,,,,,,
Intestine,Recovered Per Donor,Intestine Recovered Per Donor,2010,0.020018,,,,,,,,,
All,Transplanted Per Donor,All Transplanted Per Donor,2010,3.095304,,,,,,,,,
Kidney,Transplanted Per Donor,Kidney Transplanted Per Donor,2010,1.481556,,,,,,,,,
Pancreas,Transplanted Per Donor,Pancreas Transplanted Per Donor,2010,0.747073,,,,,,,,,
Liver,Transplanted Per Donor,Liver Transplanted Per Donor,2010,0.301272,,,,,,,,,
Heart,Transplanted Per Donor,Heart Transplanted Per Donor,2010,0.156616,,,,,,,,,
