ID AU
0.2418 0.2443
0.2400 0.2426
0.2379 0.2559
0.2742 0.2981
0.2819 0.3627
0.2691 0.3822
0.2548 0.4009
0.2019 0.4159
0.0803 0.3403
ID BJ
0.0506 0.1134
0.0524 0.1583
0.0677 0.1829
0.0656 0.2128
0.0328 0.2248
0.0361 0.2019
0.0274 0.2042
0.0204 0.1932
0.0192 0.1885
0.0274 0.1758
0.0361 0.1134
0.0506 0.1134
ID TG
0.0204 0.1932
0.0192 0.1885
0.0274 0.1758
0.0361 0.1134
0.0141 0.1264
0.0051 0.1967
0.0204 0.1932
ID GH
0.0141 0.1264
0.0051 0.1967
-0.0449 0.1946
-0.0459 0.1745
-0.0382 0.1504
-0.0545 0.1204
-0.0476 0.0946
-0.0297 0.0852
0.0141 0.1264
ID CI
-0.0459 0.1745
-0.0382 0.1504
-0.0545 0.1204
-0.0476 0.0946
-0.0838 0.0953
-0.1264 0.0820
-0.1243 0.1086
-0.1449 0.1213
-0.1419 0.1349
-0.1374 0.1826
-0.1281 0.1894
-0.1180 0.1826
-0.1112 0.1908
-0.1042 0.1934
-0.1030 0.1838
-0.0899 0.1876
-0.0728 0.1745
-0.0459 0.1745
ID BF
0.0087 0.2677
-0.0316 0.2527
-0.0412 0.2543
-0.0482 0.2503
-0.0436 0.2443
-0.0545 0.2426
-0.0553 0.2340
-0.0672 0.2370
-0.0728 0.2196
-0.0798 0.2147
-0.0944 0.2107
-0.0899 0.1876
-0.0728 0.1745
-0.0459 0.1745
-0.0449 0.1946
0.0051 0.1967
0.0141 0.1264
0.0051 0.1967
0.0204 0.1932
0.0192 0.1885
0.0274 0.2042
0.0361 0.2019
0.0328 0.2248
0.0087 0.2677
ID GN
-0.2238 0.1658
-0.2082 0.1796
-0.1916 0.1751
-0.1789 0.1501
-0.1419 0.1349
-0.1374 0.1826
-0.1374 0.1826
-0.1553 0.2217
-0.1623 0.2166
-0.1766 0.2189
-0.1834 0.2094
-0.1868 0.2185
-0.1970 0.2217
-0.2321 0.2264
-0.2313 0.2213
-0.2393 0.2176
-0.2342 0.2117
-0.2334 0.2072
-0.2520 0.2065
-0.2585 0.1929
ID LR
-0.1979 0.1243
-0.1789 0.1501
-0.1419 0.1349
-0.1449 0.1213
-0.1243 0.1086
-0.1264 0.0820
ID SL
-0.2238 0.1658
-0.2082 0.1796
-0.1916 0.1751
-0.1789 0.1501
-0.1979 0.1243
-0.2213 0.1382
-0.2238 0.1658
ID PT
-0.1281 0.6505
-0.1210 0.6841
-0.1293 0.6952
-0.1219 0.6959
-0.1065 0.7283
-0.1131 0.7351
-0.1536 0.7339
-0.1639 0.6756
-0.1529 0.6742
-0.1562 0.6479
ID ES
-0.1281 0.6505
-0.1210 0.6841
-0.1293 0.6952
-0.1219 0.6959
-0.1065 0.7283
-0.1131 0.7351
-0.1536 0.7339
-0.1618 0.7528
-0.1353 0.7653
-0.0297 0.7596
0.0065 0.7479
0.0201 0.7500
0.0358 0.7421
0.0567 0.7423
0.0592 0.7334
0.0396 0.7215
0.0197 0.7168
-0.0044 0.6906
0.0059 0.6789
-0.0124 0.6582
-0.0346 0.6435
-0.0742 0.6440
-0.0941 0.6313
-0.1030 0.6318
-0.1110 0.6461
ID MC
0.1240 0.7636
0.1323 0.7650
0.1361 0.7730
0.1234 0.7735
ID FR
-0.0297 0.7596
0.0065 0.7479
0.0201 0.7500
0.0358 0.7421
0.0567 0.7423
0.0557 0.7508
0.0716 0.7601
0.1026 0.7535
0.1161 0.7561
0.1240 0.7636
0.1234 0.7735
0.1216 0.7789
0.1248 0.7833
0.1180 0.7887
0.1281 0.7946
0.1236 0.8032
0.1218 0.8121
0.1070 0.8063
0.1244 0.8308
0.1346 0.8325
0.1470 0.8573
0.1124 0.8662
0.1044 0.8660
0.0860 0.8700
0.0869 0.8767
0.0750 0.8748
0.0450 0.8936
0.0254 0.8919
0.0236 0.8800
0.0009 0.8756
0.0067 0.8660
-0.0198 0.8660
-0.0227 0.8741
-0.0356 0.8724
-0.0239 0.8552
-0.0432 0.8505
-0.0534 0.8560
-0.0860 0.8508
-0.0782 0.8394
-0.0869 0.8440
-0.0710 0.8322
-0.0429 0.8283
-0.0227 0.8062
-0.0251 0.8109
ID LU
0.1124 0.8662
0.1044 0.8660
0.1089 0.8770
ID BE
0.1089 0.8770
0.1044 0.8660
0.0860 0.8700
0.0869 0.8767
0.0750 0.8748
0.0450 0.8936
0.0572 0.8992
0.0698 0.8954
0.0916 0.9009
0.1033 0.8952
0.1012 0.8905
0.1082 0.8875
ID NL
0.0572 0.8992
0.0698 0.8954
0.0916 0.9009
0.1033 0.8952
0.1012 0.8905
0.1082 0.8875
0.1119 0.8948
0.1061 0.9062
0.1208 0.9090
0.1272 0.9163
0.1213 0.9207
0.1260 0.9224
0.1306 0.9369
0.1004 0.9322
0.1008 0.9200
0.0885 0.9292
0.0733 0.9081
ID DE
0.1124 0.8662
0.1089 0.8770
0.1119 0.8948
0.1061 0.9062
0.1208 0.9090
0.1272 0.9163
0.1213 0.9207
0.1260 0.9224
0.1306 0.9369
0.1464 0.9381
0.1593 0.9447
0.1515 0.9596
0.1768 0.9594
0.1801 0.9517
0.1997 0.9516
0.1993 0.9446
0.2351 0.9556
0.2491 0.9437
0.2562 0.9310
0.2494 0.9236
0.2567 0.9189
0.2595 0.9098
0.2567 0.9041
0.2641 0.8969
0.2604 0.9020
0.2147 0.8782
0.2213 0.8653
0.2443 0.8522
0.2255 0.8412
0.2304 0.8327
0.2007 0.8299
0.1845 0.8330
0.1810 0.8283
0.1695 0.8316
0.1709 0.8415
0.1527 0.8364
0.1477 0.8318
0.1346 0.8325
0.1470 0.8573
0.1124 0.8662
ID LI
0.1695 0.8316
0.1709 0.8415
0.1527 0.8364
ID CH
0.1695 0.8316
0.1527 0.8364
0.1477 0.8318
0.1346 0.8325
0.1244 0.8308
0.1070 0.8063
0.1218 0.8121
0.1236 0.8032
0.1408 0.8042
0.1489 0.8100
0.1592 0.8029
0.1653 0.8138
0.1702 0.8112
0.1789 0.8111
0.1841 0.8189
0.1838 0.8226
0.1772 0.8203
0.1670 0.8245
ID AT
0.2443 0.8522
0.2255 0.8412
0.2304 0.8327
0.2007 0.8299
