ID AR
0.235152 0.887942
0.21649 0.831763
0.220785 0.779132
0.200031 0.749365
0.209106 0.737454
0.158912 0.721649
0.123187 0.699241
0.145505 0.719894
0.118186 0.718028
0.122141 0.745758
0.096134 0.731874
0.095745 0.72003
0.124098 0.696028
0.071703 0.655071
-0.036159 0.590809
-0.084037 0.555334
-0.133933 0.470064
-0.128744 0.394521
-0.117182 0.323034
-0.144246 0.311282
-0.1883 0.336734
-0.225894 0.337537
-0.309982 0.376301
-0.316826 0.393544
-0.344129 0.446464
-0.348414 0.506746
-0.414856 0.579909
-0.465747 0.696147
-0.509166 0.730165
-0.521664 0.758651
-0.557485 0.761824
-0.609203 0.77463
-0.644849 0.763476
-0.667406 0.707761
-0.693548 0.682839
-0.70989 0.683102
-0.822921 0.765877
-0.857581 0.879882
