fips,pop_total,pop_nhWhite,pop_black,pop_Hisp,popPctBlk,popPctHisp,Households,X2006.2005,ALLpop2005,ALLpop2006,ALLpop2007,ALLpc0506,ALLpc0507,ALLpc0607,Wpop2005,Wpop2006,Wpop2007,Wpc0506,Wpc0507,Wpc0607,Bpop2005,Bpop2006,Bpop2007,Bpc0506,Bpc0507,Bpc0607,Hpop2005,Hpop2006,Hpop2007,Hpc0506,Hpc0507,Hpc0607
22077,22763,13749,8616,234,0.3785,0.0103,8453,0.75,21828,22415,22392,2.689206524,2.583837273,-0.102609859,13288,13376,13392,0.662251656,0.782661048,0.119617225,8068,8548,8488,5.949429846,5.205751116,-0.701918577,223,236,247,5.829596413,10.76233184,4.661016949
22079,126337,83032,38660,1338,0.306,0.0106,47161,0.41,127367,129994,130079,2.062543673,2.129279955,0.065387633,82549,82784,82832,0.284679403,0.342826685,0.057982219,39292,41477,41343,5.560928433,5.21989209,-0.323070617,2137,2248,2373,5.194197473,11.04351895,5.560498221
22081,9622,5518,3959,71,0.4115,0.0074,3409,-0.88,9217,9213,9195,-0.043398069,-0.238689378,-0.195376099,5169,5123,5118,-0.889920681,-0.98665119,-0.097599063,3881,3920,3900,1.004895645,0.489564545,-0.510204082,49,49,51,0,4.081632653,4.081632653
22083,20981,12685,7940,211,0.3784,0.0101,7501,0.54,20318,20473,20469,0.762870361,0.743183384,-0.019537928,12289,12338,12339,0.398730572,0.406867931,0.008105041,7618,7701,7686,1.08952481,0.892622736,-0.194779899,230,248,250,7.826086957,8.695652174,0.806451613
22085,23459,16683,3816,649,0.1627,0.0277,9237,0.22,23430,23600,23683,0.725565514,1.079812207,0.351694915,16597,16623,16699,0.156654817,0.614568898,0.457197858,3905,4055,4031,3.841229193,3.226632522,-0.591861899,519,531,537,2.312138728,3.468208092,1.129943503
22087,67229,56900,4573,3506,0.068,0.0522,25065,-78.01,64683,13875,19826,-78.54923241,-69.34897887,42.89009009,52416,11302,15615,-78.43788156,-70.20947802,38.16138737,6777,1020,2017,-84.94909252,-70.23756825,97.74509804,3329,955,1398,-71.31270652,-58.00540703,46.38743455
22089,48072,33949,11864,1364,0.2468,0.0284,16393,2.47,50164,51969,52044,3.598197911,3.747707519,0.144316804,34117,34822,34500,2.066418501,1.122607498,-0.924702774,13474,14323,14611,6.301024195,8.438474098,2.010751937,1546,1723,1794,11.44890039,16.04139715,4.120719675
22091,10525,4862,5496,138,0.5222,0.0131,3865,2.28,10183,10700,10620,5.077089266,4.291466169,-0.747663551,4644,4751,4748,2.304048234,2.239448751,-0.063144601,5323,5730,5640,7.646064249,5.955288371,-1.570680628,135,137,143,1.481481481,5.925925926,4.379562044
22093,21216,10539,10518,71,0.4958,0.0033,6999,1.02,20982,21459,21578,2.27337718,2.840529978,0.554545878,10278,10356,10347,0.75890251,0.671336836,-0.086906141,10433,10796,10920,3.479344388,4.667880763,1.148573546,154,182,186,18.18181818,20.77922078,2.197802198
22095,43044,21908,19153,1264,0.445,0.0294,14250,0.58,45602,47693,47684,4.585325205,4.565589229,-0.018870694,21685,21627,20863,-0.26746599,-3.79063869,-3.53262126,21541,23431,24076,8.773965925,11.76825588,2.752763433,1621,1814,1892,11.90623072,16.71807526,4.299889746
22097,87700,49095,36867,655,0.4204,0.0075,32332,1.04,88690,90764,91362,2.338482354,3.012741008,0.658851527,49646,50091,50478,0.896346131,1.675865125,0.772593879,37436,38948,39090,4.038893044,4.418207073,0.364588682,692,769,779,11.12716763,12.57225434,1.300390117
