fips,pop_total,pop_nhWhite,pop_black,pop_Hisp,popPctBlk,popPctHisp,Households,HHEnglish,HHPctNonEnglish,HHPctLingIsolated,PctForeignBorn,FamMedInc,FamMedIncBlk,FamMedIncHisp,FamMedIncNHWht,PctPovBlk,PctPovHisp,PctPovNHWht,PctAllPov,PctCrowdedBlk,PctCrowdedHisp,PctCrowdedNHWht,HHmedValueBlk,HHmedValueHisp,HHmedValueNHWht,X2006.2005,ALLpop2005,ALLpop2006,ALLpop2007,ALLpc0506,ALLpc0507,ALLpc0607,Wpop2005,Wpop2006,Wpop2007,Wpc0506,Wpc0507,Wpc0607,WFpop2005,WFpop2006,WFpop2007,WFpc0506,WFpc0507,WFpc0607,WMpop2005,WMpop2006,WMpop2007,WMpc0506,WMpc0507,WMpc0607,Bpop2005,Bpop2006,Bpop2007,Bpc0506,Bpc0507,Bpc0607,BFpop2005,BFpop2006,BFpop2007,BFpc0506,BFpc0507,BFpc0607,BMpop2005,BMpop2006,BMpop2007,BMpc0506,BMpc0507,BMpc0607,Hpop2005,Hpop2006,Hpop2007,Hpc0506,Hpc0507,Hpc0607,HFpop2005,HFpop2006,HFpop2007,HFpc0506,HFpc0507,HFpc0607,HMpop2005,HMpop2006,HMpop2007,HMpc0506,HMpc0507,HMpc0607,Apop2005,Apop2006,Apop2007,Apc0506,Apc0507,Apc0607
22021,10560,8399,1896,159,0.1795,0.0151,3925,3698,0.0578,0.0028,0.0064,33653,16976,26250,36909,0.4198,0,0.1362,0.2125,0.0588,0,0.026,33400,52000,57900,-1.17,10398,10359,10307,-0.375072129,-0.875168302,-0.501978955,8247,8146,8109,-1.224687765,-1.673335758,-0.454210656,4157,4106,4083,-1.226846283,-1.780129901,-0.560155869,4090,4040,4026,-1.222493888,-1.564792176,-0.346534653,1861,1920,1898,3.170338528,1.988178399,-1.145833333,840,867,855,3.214285714,1.785714286,-1.384083045,1021,1053,1043,3.134182174,2.154750245,-0.949667616,162,165,167,1.851851852,3.086419753,1.212121212,80,82,83,2.5,3.75,1.219512195,82,83,84,1.219512195,2.43902439,1.204819277,15,15,15,0,0,0
22023,9991,9266,354,207,0.0354,0.0207,3592,2690,0.2511,0.0192,0.0156,39663,18295,24531,40720,0.4588,0.0426,0.0811,0.1235,0.0751,0.36,0.0645,39700,85000,61100,-19.17,9571,7705,7414,-19.49639536,-22.53683001,-3.776768332,8725,7068,6759,-18.99140401,-22.53295129,-4.371816638,4345,3492,3330,-19.63176064,-23.36018412,-4.639175258,4380,3576,3429,-18.35616438,-21.71232877,-4.110738255,423,283,290,-33.09692671,-31.44208038,2.473498233,205,139,143,-32.19512195,-30.24390244,2.877697842,218,144,147,-33.94495413,-32.56880734,2.083333333,278,209,220,-24.82014388,-20.86330935,5.263157895,124,91,96,-26.61290323,-22.58064516,5.494505495,154,118,124,-23.37662338,-19.48051948,5.084745763,47,47,47,0,0,0
22025,10920,7798,2986,44,0.2734,0.004,4088,3927,0.0394,0.0029,8.00E-04,27206,16850,16500,31224,0.4472,0,0.1627,0.2814,0.0774,0,0.0367,29300,45000,55900,-0.76,10270,10396,10452,1.226874391,1.772151899,0.538668719,7272,7215,7284,-0.783828383,0.165016502,0.956340956,3643,3619,3645,-0.658797694,0.054899808,0.718430506,3629,3596,3639,-0.909341416,0.275558005,1.195773081,2832,3013,3001,6.391242938,5.967514124,-0.398274145,1378,1469,1458,6.603773585,5.805515239,-0.748808713,1454,1544,1543,6.189821183,6.121045392,-0.064766839,74,75,75,1.351351351,1.351351351,0,32,32,32,0,0,0,42,43,43,2.380952381,2.380952381,0,14,15,15,7.142857143,7.142857143,0
22027,16851,8686,7938,143,0.4711,0.0085,6288,6048,0.0382,0.003,0.0036,32225,17294,30500,41772,0.3936,0.1,0.0865,0.2652,0.0755,0,0.0337,34600,35600,67200,-0.32,16313,16441,16283,0.784650279,-0.183902409,-0.961012104,8258,8230,8147,-0.339065149,-1.344151126,-1.008505468,4087,4065,4025,-0.538292146,-1.517005138,-0.98400984,4171,4165,4122,-0.143850396,-1.174778231,-1.032412965,7817,7966,7876,1.906102085,0.754765255,-1.129801657,3733,3757,3703,0.642914546,-0.803643182,-1.437317008,4084,4209,4173,3.06072478,2.179236043,-0.85531005,81,82,85,1.234567901,4.938271605,3.658536585,39,40,41,2.564102564,5.128205128,2.5,42,42,44,0,4.761904762,4.761904762,18,19,20,5.555555556,11.11111111,5.263157895
22029,20247,12136,7603,283,0.3755,0.014,7538,7164,0.0496,0.0041,0.0128,28629,14320,29063,36241,0.4744,0.0323,0.127,0.2911,0.0845,0.1373,0.0239,34700,102500,62800,-0.91,18949,19225,19058,1.456541242,0.575228244,-0.868660598,11084,10953,10816,-1.181883796,-2.417899675,-1.250798868,5687,5610,5540,-1.353965184,-2.584842624,-1.247771836,5397,5343,5276,-1.000555864,-2.241986289,-1.253977166,7406,7783,7746,5.090467189,4.590872266,-0.475395092,3840,4035,4014,5.078125,4.53125,-0.520446097,3566,3748,3732,5.103757712,4.655075715,-0.426894344,236,264,267,11.86440678,13.13559322,1.136363636,73,84,86,15.06849315,17.80821918,2.380952381,163,180,181,10.42944785,11.04294479,0.555555556,70,72,73,2.857142857,4.285714286,1.388888889
22031,25494,14053,10488,492,0.4114,0.0193,9680,9149,0.0549,0.0023,0.0097,33196,20550,25500,42700,0.3741,0.3727,0.1092,0.2506,0.074,0.2647,0.0194,40200,84100,69000,0.22,25977,26061,26269,0.323362975,1.124071294,0.79812747,14663,14675,14817,0.081838641,1.050262566,0.967632027,7459,7462,7531,0.040219869,0.965276847,0.924685071,7204,7213,7286,0.124930594,1.138256524,1.012061556,10550,10592,10615,0.398104265,0.616113744,0.217145015,5761,5782,5782,0.364520049,0.364520049,0,4789,4810,4833,0.438504907,0.918772186,0.478170478,406,427,457,5.172413793,12.56157635,7.025761124,185,197,211,6.486486486,14.05405405,7.106598985,221,230,246,4.07239819,11.31221719,6.956521739,38,41,45,7.894736842,18.42105263,9.756097561
22033,412852,227677,163054,7704,0.3949,0.0187,156521,139703,0.1074,0.0136,0.0375,47480,27489,42917,63018,0.2687,0.172,0.0385,0.1787,0.0932,0.0861,0.0149,66900,95100,118600,0.26,412196,431278,430317,4.629351085,4.39620957,-0.222826112,214118,213789,211067,-0.153653593,-1.424915234,-1.273217986,109623,109380,107819,-0.22166881,-1.645640057,-1.42713476,104495,104409,103248,-0.082300589,-1.193358534,-1.111973106,174898,192238,193332,9.914350078,10.53985752,0.569086237,93284,102504,103033,9.883795721,10.45088118,0.516077421,81614,89734,90299,9.949273409,10.6415566,0.62963871,8652,9551,10065,10.39066112,16.33148405,5.381635431,4058,4486,4700,10.54706752,15.82060128,4.77039679,4594,5065,5365,10.25250327,16.78276012,5.923000987,9957,10589,10527,6.347293361,5.724615848,-0.585513268
22035,9421,2925,6323,116,0.6712,0.0123,2968,2805,0.0549,0.0027,0.0088,24554,16299,11827,36321,0.4869,0.6667,0.0824,0.4046,0.112,0.2353,0.0168,27900,32800,50400,-5.37,8467,8319,8302,-1.747962679,-1.948742176,-0.204351485,2627,2482,2448,-5.519604111,-6.81385611,-1.369863014,1276,1198,1188,-6.112852665,-6.896551724,-0.834724541,1351,1284,1260,-4.959289415,-6.735751295,-1.869158879,5686,5682,5700,-0.070348224,0.246218783,0.316789863,2765,2761,2770,-0.144665461,0.180831826,0.325968852,2921,2921,2930,0,0.30811366,0.30811366,72,72,72,0,0,0,33,33,33,0,0,0,39,39,39,0,0,0,36,36,35,0,-2.777777778,-2.777777778
22037,21360,10973,10037,130,0.4699,0.0061,6687,6301,0.0577,0.006,0.0057,37278,23203,36786,49583,0.3324,0.3056,0.0759,0.2301,0.1227,0.25,0.0335,55100,47500,89900,0.84,20557,21017,20833,2.237680595,1.342608357,-0.875481753,11002,11087,11074,0.772586802,0.654426468,-0.117254442,5262,5290,5286,0.532117066,0.456100342,-0.075614367,5740,5797,5788,0.993031359,0.836236934,-0.155252717,9205,9562,9380,3.878326996,1.901140684,-1.903367496,4162,4280,4184,2.835175396,0.528592023,-2.242990654,5043,5282,5196,4.739242514,3.033908388,-1.628171147,130,138,141,6.153846154,8.461538462,2.173913043,57,59,60,3.50877193,5.263157895,1.694915254,73,79,81,8.219178082,10.95890411,2.53164557,69,70,72,1.449275362,4.347826087,2.857142857
22039,35434,24763,10010,298,0.2825,0.0084,12769,6861,0.4627,0.0834,0.0063,27243,12456,17857,34322,0.5555,0.3676,0.1721,0.3223,0.1416,0,0.05,39600,44400,56700,0.37,35227,35675,35905,1.271751781,1.924660062,0.64470918,24118,24200,24361,0.339995024,1.007546231,0.665289256,12212,12250,12330,0.311169342,0.966262692,0.653061224,11906,11950,12031,0.369561566,1.049890811,0.677824268,10424,10770,10805,3.319263239,3.655026861,0.324976787,5076,5271,5299,3.841607565,4.39322301,0.531208499,5348,5499,5506,2.823485415,2.954375467,0.127295872,310,319,335,2.903225806,8.064516129,5.015673981,131,136,142,3.816793893,8.396946565,4.411764706,179,183,193,2.234636872,7.82122905,5.464480874,118,126,135,6.779661017,14.40677966,7.142857143
